timestamp,open,high,low,close,volume,ttm,imp_vol
2025-03-04,10.6,11.87,9.65,9.65,47,0.10403832991101986,0.29918558572427195
2025-03-05,9.61,9.61,6.5,9.15,116,0.10130047912388775,0.2868551691428911
2025-03-06,8.7,10.1,8.45,9.5,131,0.09856262833675565,0.30325208335859044
2025-03-07,9.18,12.61,9.18,11.1,65,0.09582477754962354,0.3634256529527191
2025-03-10,9.0,9.0,4.47,6.0,251,0.08761122518822724,0.1970715794805279
2025-03-11,4.4,4.9,2.56,3.15,530,0.08487337440109514,0.09562109198835465
2025-03-12,2.62,2.85,1.6,1.78,455,0.08213552361396304,0.045469343881319096
2025-03-13,1.53,1.66,0.89,0.9,484,0.07939767282683094,
2025-03-14,0.95,1.07,0.75,0.92,670,0.07665982203969883,
2025-03-17,0.84,0.91,0.61,0.75,1578,0.06844626967830253,
2025-03-18,0.79,0.95,0.61,0.67,215,0.06570841889117043,
2025-03-19,0.73,1.24,0.62,0.65,285,0.06297056810403832,
2025-03-20,0.57,0.76,0.44,0.56,257,0.06023271731690623,
2025-03-21,0.39,0.75,0.38,0.72,322,0.057494866529774126,
2025-03-24,0.9,0.96,0.56,0.7,579,0.049281314168377825,0.012370811345055922
2025-03-25,0.67,1.01,0.59,0.96,1219,0.04654346338124572,0.02975659243546056
2025-03-26,0.9,1.12,0.59,0.67,1110,0.04380561259411362,0.014460042923680116
2025-03-27,0.66,1.11,0.56,1.01,2690,0.04106776180698152,0.03657642128112689
2025-03-28,0.64,0.91,0.34,0.34,1186,0.038329911019849415,
2025-03-31,0.33,0.88,0.3,0.66,2291,0.030116358658453114,0.024544644101767498
2025-04-01,0.39,0.73,0.31,0.55,2184,0.02737850787132101,0.0191736689771542
2025-04-02,0.41,0.7,0.41,0.61,1899,0.024640657084188913,0.026267344213521445
2025-04-03,0.05,0.11,0.04,0.11,2169,0.02190280629705681,
2025-04-04,0.09,0.09,0.02,0.05,1432,0.019164955509924708,
2025-04-07,0.04,0.05,0.01,0.02,1529,0.010951403148528405,
2025-04-08,0.02,0.02,0.01,0.01,4319,0.008213552361396304,
2025-04-09,0.01,0.09,0.01,0.05,836,0.0054757015742642025,
2025-04-10,0.04,0.05,0.01,0.01,5498,0.0027378507871321013,
2025-04-11,0.01,0.01,0.01,0.01,85,1e-09,
