Ticker,Agent,Win Rate,Sharpe,Sortino,Ann. Return,Ann. Vol,Max Drawdown
AAPL,Agent_hardThreshold,0.7317,0.3969,0.2537,0.0821,0.1988,-0.2125
AAPL,Agent_Perc,0.7222,0.1404,0.0941,0.0295,0.2074,-0.2644
AAPL,Agent_Garch,0.7333,0.1402,0.0891,0.0287,0.2016,-0.234
AAPL,Agent_LongTerm,0.8667,0.5435,0.3926,0.0908,0.1599,-0.1686
ACMR,Agent_hardThreshold,0.5556,-0.0069,-0.0065,-0.0027,0.3916,-0.2542
ACMR,Agent_Perc,0.6154,0.5744,0.504,0.5852,0.802,-0.321
ACMR,Agent_Garch,0.6,0.4892,0.4964,0.2498,0.4558,-0.3194
ACMR,Agent_LongTerm,0.6,-0.964,-0.4432,-0.4866,0.6916,-0.4217
AMD,Agent_hardThreshold,0.7143,-0.4379,-0.2366,-0.2684,0.7139,-0.653
AMD,Agent_Perc,0.6471,-0.4454,-0.2423,-0.2712,0.7104,-0.6678
AMD,Agent_Garch,0.7111,-0.4153,-0.2214,-0.2564,0.7135,-0.6365
AMD,Agent_LongTerm,0.8571,-0.0922,-0.0424,-0.0612,0.6856,-0.5933
GOOG,Agent_hardThreshold,0.7949,1.6039,1.9659,0.5884,0.2885,-0.1157
GOOG,Agent_Perc,0.8158,1.1861,1.3496,0.5025,0.3432,-0.1675
GOOG,Agent_Garch,0.7209,1.5513,2.053,0.6273,0.3139,-0.1157
GOOG,Agent_LongTerm,0.7632,0.9161,1.0031,0.3245,0.3068,-0.2261
INTC,Agent_hardThreshold,0.775,1.484,2.3184,1.242,0.544,-0.2963
INTC,Agent_Perc,0.7105,1.3589,2.822,1.0855,0.5409,-0.2479
INTC,Agent_Garch,0.72,1.484,2.3462,1.2995,0.5611,-0.2741
INTC,Agent_LongTerm,0.7609,1.0758,0.9528,0.4721,0.3594,-0.2873
META,Agent_hardThreshold,0.6579,-0.1857,-0.1634,-0.0596,0.331,-0.3214
META,Agent_Perc,0.65,-0.3303,-0.2649,-0.0986,0.3141,-0.3648
META,Agent_Garch,0.6579,0.1389,0.1267,0.0479,0.3372,-0.2872
META,Agent_LongTerm,0.5833,-0.0927,-0.0777,-0.0267,0.292,-0.2403
TSLA,Agent_hardThreshold,0.6889,0.7805,0.7674,0.2931,0.3293,-0.2502
TSLA,Agent_Perc,0.6364,0.5477,0.553,0.1819,0.3051,-0.2721
TSLA,Agent_Garch,0.7143,0.7275,0.7003,0.2356,0.2908,-0.2368
TSLA,Agent_LongTerm,0.7234,0.1001,0.0701,0.0223,0.2199,-0.2069
